rews,2,2,2,1,3,2,1,1,2,2,2,2,3,2,2,2,3,3,3,2,1,2,2,2,2,3,1,2,2,1,3,1,3,2,3,3,1,2,3,3,1,3,1,2,2,2,3,1,2,2,2,2,4,2,2,2,1,3,2,3,2,2,4,2,2,2,1,3,2,2,3,2,2,1,2,3,2,2,2,3,2,2,2,3,2,3,2,3,2,2,2,1,2,2,2,2,3,2,2,2,2.13
pots,1,3,2,1,2,1,1,1,2,1,2,2,3,1,2,2,3,3,2,3,1,1,2,2,2,2,1,2,2,1,3,2,2,2,3,3,1,2,3,3,1,3,1,2,2,1,2,1,2,1,2,1,2,2,1,2,2,3,2,3,2,2,4,1,2,1,1,3,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,3,2,3,2,2,1,1,3,1,1,2,2,2,2,2,2,1,1.88
rews,4,4,2,3,3,2,2,3,3,3,2,1,2,4,2,2,1,4,2,3,2,3,2,2,1,3,2,2,2,2,2,1,2,2,3,2,4,3,3,2,1,3,2,3,2,1,2,2,3,2,2,3,3,3,3,3,2,2,2,3,2,3,2,2,3,2,3,3,2,1,2,3,3,3,3,2,2,2,3,3,2,3,2,3,3,3,2,2,2,2,3,4,2,2,2,2,3,2,3,3,2.43
pots,3,2,1,3,2,2,2,2,2,1,2,2,3,2,2,1,2,4,3,2,2,3,2,2,1,3,3,1,2,3,1,2,1,2,1,2,2,2,2,2,1,2,2,3,2,2,2,2,3,2,2,3,1,2,3,3,2,2,3,2,2,3,3,2,3,2,2,3,2,1,2,3,1,2,1,1,1,2,3,3,2,2,1,2,3,2,2,1,2,2,2,4,1,2,2,2,3,1,3,2,2.09
rews,3,2,1,1,3,2,2,3,2,1,2,2,3,2,3,3,3,2,5,3,4,3,1,3,3,3,4,2,2,2,3,3,3,3,4,3,3,4,3,2,3,2,2,3,1,3,2,3,2,2,2,2,2,2,2,2,2,2,1,1,2,4,1,1,3,3,2,2,3,3,2,2,2,3,4,3,2,3,2,3,3,3,2,2,2,3,1,2,4,3,2,1,2,4,3,3,3,2,1,1,2.44
pots,3,2,1,2,2,3,2,3,2,3,2,2,3,2,2,1,2,1,1,2,3,2,2,3,2,2,3,1,4,1,2,2,3,3,2,3,2,2,2,2,3,2,2,2,3,2,2,3,1,2,2,2,2,2,2,1,3,1,1,2,1,4,1,1,2,2,2,2,3,2,3,3,2,2,4,3,1,2,2,3,1,2,1,2,2,2,2,2,3,3,2,3,2,1,2,3,3,2,2,2,2.14
rews,1,2,2,3,2,4,2,3,3,3,1,3,2,2,2,2,2,3,2,3,3,2,4,2,2,2,2,3,3,3,2,4,3,3,3,2,1,3,2,2,2,2,2,2,3,2,2,2,3,3,2,4,1,3,3,2,2,2,3,2,3,1,2,1,3,3,1,3,2,2,3,3,3,3,2,3,2,3,2,1,2,1,2,4,2,1,2,4,2,2,4,3,2,2,3,2,2,2,2,2,2.37
pots,1,2,1,2,1,4,3,3,2,3,1,2,1,2,2,2,2,1,1,2,2,2,4,1,2,2,2,3,1,1,2,1,2,3,3,2,2,3,2,2,1,3,2,2,2,2,3,3,3,3,2,4,3,2,2,2,2,3,2,2,3,2,2,2,3,1,2,2,2,1,3,2,3,2,2,3,3,3,2,2,3,1,2,3,2,2,2,2,2,3,3,2,1,2,3,3,2,1,1,3,2.16
rews,2,3,2,3,2,3,2,4,2,2,2,3,3,3,3,2,4,3,2,4,2,2,1,3,2,3,2,2,2,4,2,3,4,1,2,2,2,2,4,3,3,3,3,2,3,3,2,2,2,3,2,2,3,2,2,3,3,1,3,3,2,2,1,3,2,3,3,2,2,2,1,3,2,3,3,2,1,2,1,3,2,2,1,2,2,3,3,2,3,3,2,2,2,2,3,2,2,2,3,2,2.4
pots,2,2,2,3,3,2,2,1,1,2,2,2,1,4,3,2,2,3,3,4,2,2,1,3,3,2,2,2,1,4,2,2,4,2,1,2,2,2,1,3,3,3,1,2,3,3,3,2,2,3,2,2,1,2,3,3,2,2,3,3,2,1,1,3,2,2,2,2,2,1,1,3,2,3,1,2,2,3,2,2,2,1,2,1,2,3,1,2,3,3,2,2,2,2,3,3,2,2,3,2,2.19
